impl,height,width,max_disp,radius,mean_ms,min_ms,fps,gops_per_frame,gops_per_s
GPU_basic,288,384,16,2,0.1172,0.1172,8531.0260,0.0827,705.5227
GPU_smem,288,384,16,2,0.0627,0.0627,15960.9776,0.0827,1319.9856
GPU_tiled,288,384,16,2,0.2274,0.2274,4398.0635,0.0827,363.7234
GPU_basic,380,434,20,2,0.1445,0.1445,6920.9133,0.1542,1066.9280
GPU_smem,380,434,20,2,0.1100,0.1100,9092.7605,0.1542,1401.7400
GPU_tiled,380,434,20,2,0.2260,0.2260,4424.9670,0.1542,682.1529
GPU_basic,383,434,20,2,0.1450,0.1450,6896.0190,0.1554,1071.5724
GPU_smem,383,434,20,2,0.1100,0.1100,9092.7605,0.1554,1412.9240
GPU_tiled,383,434,20,2,0.2277,0.2277,4391.9442,0.1554,682.4642
GPU_basic,288,384,16,2,0.1169,0.1169,8551.3356,0.0827,707.2023
GPU_smem,288,384,16,2,0.0632,0.0632,15829.1956,0.0827,1309.0871
GPU_tiled,288,384,16,2,0.2312,0.2312,4325.0798,0.0827,357.6876
GPU_basic,380,434,20,2,0.1442,0.1442,6936.5827,0.1542,1069.3436
GPU_smem,380,434,20,2,0.1118,0.1118,8944.1600,0.1542,1378.8317
GPU_tiled,380,434,20,2,0.2291,0.2291,4365.6228,0.1542,673.0044
GPU_basic,383,434,20,2,0.1450,0.1450,6898.7596,0.1554,1071.9983
GPU_smem,383,434,20,2,0.1116,0.1116,8958.7747,0.1554,1392.1040
GPU_tiled,383,434,20,2,0.2312,0.2312,4325.4391,0.1554,672.1300
GPU_basic,1000,1482,64,2,3.9996,3.9996,250.0250,4.5067,1126.7879
GPU_smem,1000,1482,64,2,2.7881,2.7881,358.6611,4.5067,1616.3784
GPU_tiled,1000,1482,64,2,2.0079,2.0079,498.0206,4.5067,2244.4301
