impl,height,width,max_disp,radius,mean_ms,min_ms,fps,gops_per_frame,gops_per_s
GPU_basic,288,384,16,2,0.0965,0.0965,10364.8428,0.0827,857.1808
GPU_smem,288,384,16,2,0.0483,0.0483,20683.0369,0.0827,1710.5037
GPU_tiled,288,384,16,2,0.2160,0.2160,4628.8069,0.0827,382.8060
GPU_tiled_lrc,288,384,16,2,0.3904,0.3904,2561.1814,0.0827,211.8118
GPU_SGM_4path,288,384,16,2,0.8827,0.8827,1132.9031,0.0827,93.6920
GPU_basic,380,434,20,2,0.1098,0.1098,9103.8867,0.1542,1403.4552
GPU_smem,380,434,20,2,0.0850,0.0850,11759.1728,0.1542,1812.7941
GPU_tiled,380,434,20,2,0.2230,0.2230,4483.5651,0.1542,691.1864
GPU_tiled_lrc,380,434,20,2,0.4000,0.4000,2500.2600,0.1542,385.4401
GPU_SGM_4path,380,434,20,2,1.2617,1.2617,792.5759,0.1542,122.1835
GPU_basic,383,434,20,2,0.1108,0.1108,9028.9210,0.1554,1403.0040
GPU_smem,383,434,20,2,0.0852,0.0852,11734.0041,0.1554,1823.3469
GPU_tiled,383,434,20,2,0.2250,0.2250,4443.7174,0.1554,690.5092
GPU_tiled_lrc,383,434,20,2,0.4014,0.4014,2491.4492,0.1554,387.1463
GPU_SGM_4path,383,434,20,2,1.2632,1.2632,791.6583,0.1554,123.0158
