impl,height,width,max_disp,radius,mean_ms,min_ms,fps,gops_per_frame,gops_per_s
GPU_basic,288,384,16,2,0.1168,0.1168,8563.0513,0.0827,708.1712
GPU_smem,288,384,16,2,0.0637,0.0637,15701.9393,0.0827,1298.5629
GPU_tiled,288,384,16,2,0.2707,0.2707,3693.5041,0.0827,305.4557
GPU_SGM_4path_SAD,288,384,16,2,1.1051,1.1051,904.8792,0.0827,74.8342
GPU_basic,288,384,16,2,0.1161,0.1161,8616.8866,0.0827,712.6234
GPU_smem,288,384,16,2,0.0639,0.0639,15648.4721,0.0827,1294.1412
GPU_tiled,288,384,16,2,0.2705,0.2705,3696.3001,0.0827,305.6870
GPU_SGM_4path_Census,288,384,16,2,1.0330,1.0330,968.0977,0.0827,80.0625
GPU_basic,288,384,16,2,0.1171,0.1171,8540.3514,0.0827,706.2939
GPU_smem,288,384,16,2,0.0634,0.0634,15761.3349,0.0827,1303.4750
GPU_tiled,288,384,16,2,0.2706,0.2706,3696.0815,0.0827,305.6689
GPU_SGM_8path_SAD,288,384,16,2,1.9553,1.9553,511.4307,0.0827,42.2957
GPU_basic,288,384,16,2,0.1168,0.1168,8561.4088,0.0827,708.0354
GPU_smem,288,384,16,2,0.0637,0.0637,15700.3616,0.0827,1298.4325
GPU_tiled,288,384,16,2,0.2709,0.2709,3691.4099,0.0827,305.2825
GPU_SGM_8path_Census,288,384,16,2,1.8819,1.8819,531.3722,0.0827,43.9449
GPU_basic,380,434,20,2,0.1443,0.1443,6929.9691,0.1542,1068.3240
GPU_smem,380,434,20,2,0.1119,0.1119,8939.8099,0.1542,1378.1611
GPU_tiled,380,434,20,2,0.2771,0.2771,3608.8781,0.1542,556.3446
GPU_SGM_4path_SAD,380,434,20,2,1.5526,1.5526,644.0855,0.1542,99.2922
GPU_basic,380,434,20,2,0.1447,0.1447,6911.4234,0.1542,1065.4650
GPU_smem,380,434,20,2,0.1118,0.1118,8942.8799,0.1542,1378.6344
GPU_tiled,380,434,20,2,0.2768,0.2768,3612.8836,0.1542,556.9621
GPU_SGM_4path_Census,380,434,20,2,1.5006,1.5006,666.4051,0.1542,102.7330
GPU_basic,380,434,20,2,0.1447,0.1447,6909.8955,0.1542,1065.2295
GPU_smem,380,434,20,2,0.1118,0.1118,8942.8799,0.1542,1378.6344
GPU_tiled,380,434,20,2,0.2765,0.2765,3616.0610,0.1542,557.4520
GPU_SGM_8path_SAD,380,434,20,2,2.8272,2.8272,353.7032,0.1542,54.5269
GPU_basic,380,434,20,2,0.1450,0.1450,6896.6278,0.1542,1063.1841
GPU_smem,380,434,20,2,0.1118,0.1118,8942.8799,0.1542,1378.6344
GPU_tiled,380,434,20,2,0.2763,0.2763,3619.7052,0.1542,558.0138
GPU_SGM_8path_Census,380,434,20,2,2.7769,2.7769,360.1180,0.1542,55.5158
GPU_basic,383,434,20,2,0.1453,0.1453,6882.0470,0.1554,1069.4013
GPU_smem,383,434,20,2,0.1120,0.1120,8931.1229,0.1554,1387.8072
GPU_tiled,383,434,20,2,0.2785,0.2785,3590.7159,0.1554,557.9613
GPU_SGM_4path_SAD,383,434,20,2,1.5616,1.5616,640.3689,0.1554,99.5069
GPU_basic,383,434,20,2,0.1451,0.1451,6893.4328,0.1554,1071.1705
GPU_smem,383,434,20,2,0.1118,0.1118,8942.8799,0.1554,1389.6341
GPU_tiled,383,434,20,2,0.2783,0.2783,3592.8213,0.1554,558.2885
GPU_SGM_4path_Census,383,434,20,2,1.5090,1.5090,662.7053,0.1554,102.9778
GPU_basic,383,434,20,2,0.1451,0.1451,6892.8253,0.1554,1071.0761
GPU_smem,383,434,20,2,0.1119,0.1119,8938.0203,0.1554,1388.8790
GPU_tiled,383,434,20,2,0.2787,0.2787,3587.6652,0.1554,557.4873
GPU_SGM_8path_SAD,383,434,20,2,2.8603,2.8603,349.6155,0.1554,54.3268
GPU_basic,383,434,20,2,0.1454,0.1454,6879.7745,0.1554,1069.0482
GPU_smem,383,434,20,2,0.1119,0.1119,8935.2088,0.1554,1388.4421
GPU_tiled,383,434,20,2,0.2781,0.2781,3595.3840,0.1554,558.6867
GPU_SGM_8path_Census,383,434,20,2,2.8029,2.8029,356.7759,0.1554,55.4394
