impl,height,width,max_disp,radius,mean_ms,min_ms,fps,gops_per_frame,gops_per_s
GPU_basic,288,384,16,2,0.0886,0.0886,11284.8480,0.0827,933.2660
GPU_smem,288,384,16,2,0.0479,0.0479,20866.7202,0.0827,1725.6945
GPU_tiled,288,384,16,2,0.2151,0.2151,4650.0209,0.0827,384.5604
GPU_tiled_lrc,288,384,16,2,0.3916,0.3916,2553.7306,0.0827,211.1956
GPU_basic,380,434,20,2,0.1096,0.1096,9126.7523,0.1542,1406.9801
GPU_smem,380,434,20,2,0.0849,0.0849,11776.0116,0.1542,1815.3899
GPU_tiled,380,434,20,2,0.2213,0.2213,4518.1814,0.1542,696.5228
GPU_tiled_lrc,380,434,20,2,0.3984,0.3984,2510.2619,0.1542,386.9820
GPU_basic,383,434,20,2,0.1102,0.1102,9073.4873,0.1554,1409.9292
GPU_smem,383,434,20,2,0.0850,0.0850,11768.0283,0.1554,1828.6339
GPU_tiled,383,434,20,2,0.2235,0.2235,4474.8336,0.1554,695.3444
GPU_tiled_lrc,383,434,20,2,0.4005,0.4005,2497.1833,0.1554,388.0373
