SGM P1/P2 sweep (tsukuba, max_disp=16)  Mon Jun  8 11:53:54 PDT 2026
P1     P2     MAE        bad%      
20     400    0.5838     11.6368   
20     800    0.5838     11.9219   
20     1200   0.5855     12.1020   
20     2000   0.5888     12.2970   
50     400    0.5453     9.9377    
50     800    0.5454     10.2696   
50     1200   0.5465     10.4725   
50     2000   0.5525     10.7325   
80     400    0.5260     9.2707    
80     800    0.5221     9.6321    
80     1200   0.5249     9.8830    
80     2000   0.5319     10.2160   
120    400    0.5089     8.4063    
120    800    0.5002     8.9023    
120    1200   0.5012     9.3288    
120    2000   0.5114     9.7918    
