SGM P1/P2 sweep 2 (tsukuba)  Mon Jun  8 11:54:41 PDT 2026
P1     P2     MAE        bad%      
120    300    0.5166     8.1862    
120    500    0.5037     8.6184    
120    800    0.5002     8.9023    
160    300    0.5058     7.2717    
160    500    0.4920     7.8875    
160    800    0.4858     8.3276    
200    300    0.4978     6.8794    
200    500    0.4805     7.3857    
200    800    0.4740     8.0095    
260    300    0.4891     6.7038    
260    500    0.4685     6.7175    
260    800    0.4631     7.6377    
